Wallet Address,0xa733dcbe5b3ae4570481158aff902ef27bf33c4c
Chains with Capital,"ETH $35,874.835590 (96.2937%), BSC $0.000000 (0.0000%), POLYGON $0.000000 (0.0000%), AVALANCHE $0.000000 (0.0000%), FANTOM $0.000000 (0.0000%), ARBITRUM $0.000000 (0.0000%), BASE $1,380.808591 (3.7063%), OPTIMISM $0.000000 (0.0000%), LINEA $0.000000 (0.0000%)"
Total Funds,"$37,255.6442"

Chain,Token,Portfolio %,Price,Amount,Value
ARBITRUM,$ graphpool.xyz,0.0000%,$0.00,"240,000.000000",$0.00
ARBITRUM,Claim $TKO rewards at https://taikodao.org,0.0000%,$0.00,"800,000.000000",$0.00
ARBITRUM,Claim rewards at https://ousd.gift,0.0000%,$0.00,"248,000.000000",$0.00
ARBITRUM,ACCESS [ PENDLE.UNO ] TO CLAIM AIRDROP,0.0000%,$0.00,700.000000,$0.00
ARBITRUM,claim $foxy at (me-qr.com/yqdprsom),0.0000%,$0.00,"2,985.000000",$0.00
ARBITRUM,UNISWAPREWARDS,0.0000%,$0.00,"2,985.000000",$0.00
ARBITRUM,claim your $foxy at me-qr.com/XtaHKUG4,0.0000%,$0.00,"14,500.000000",$0.00
ARBITRUM,Visit https://fetdao.com to claim $fetch rewards.,0.0000%,$0.00,"72,500.000000",$0.00
ARBITRUM,claim $foxy at (me-qr.com/yqdprsom),0.0000%,$0.00,"2,985.000000",$0.00
BASE,BASED,85.1935%,$0.0000,"27,222.000000",$0.1937
BASE,WGC,8.9298%,$0.0001,200.000000,$0.0203
BASE,OOMER,5.0169%,$0.1426,0.080000,$0.0114
BASE,USA,0.6852%,$0.0016,1.000000,$0.0016
BASE,PCAT,0.1698%,$0.0000,50.000000,$0.0004
BASE,9MM,0.0048%,$0.0000,0.345000,$0.0000
BASE,aave-foundation.com,0.0000%,$0.00,100.000000,$0.00
BASE,Collect on: swap-based.com,0.0000%,$0.00,"250,000.000000",$0.00
BASE,5ETH Reward at web3eth.vip,0.0000%,$0.00,5.000000,$0.00
BASE,Collect on: swap-based.com,0.0000%,$0.00,"250,000.000000",$0.00
BASE,Airdrop on: brettbased.com,0.0000%,$0.00,"273,108.000000",$0.00
BASE,Swap $pufETH at pufeth.org,0.0000%,$0.00,1.000000,$0.00
BASE,FtxRebase,0.0000%,$0.00,"2,000,000.000000",$0.00
BASE,Claim on: roost-rewards.com/?claim,0.0000%,$0.00,"105,610.000000",$0.00
BASE,ACCESS ( BRETT.DIGITAL ) CLAIM YOUR AIRDROP,0.0000%,$0.00,"14,700.000000",$0.00
BASE,ACCESS [ DELYSIUM.UNO ] TO CLAIM AIRDROP,0.0000%,$0.00,"15,000.000000",$0.00
OPTIMISM,claim $foxy at me-qr.com/dHY9RTeC,0.0000%,$0.00,"14,500.000000",$0.00
OPTIMISM,claim $foxy at me-qr.com/dHY9RTeC,0.0000%,$0.00,"14,500.000000",$0.00
OPTIMISM,Claim on https://t.ly/OPT,0.0000%,$0.00,"2,000.000000",$0.00
OPTIMISM,claim foxy now at me-qr.com/d9uouqi5,0.0000%,$0.00,"14,500.000000",$0.00
OPTIMISM,claim $foxy at(foxclick.vercel.app/),0.0000%,$0.00,"2,985.000000",$0.00
OPTIMISM,Claim on optimisam.org,0.0000%,$0.00,"2,000.000000",$0.00
OPTIMISM,Claim on https://t.ly/chain.link,0.0000%,$0.00,400.000000,$0.00
OPTIMISM,claim $foxy at me-qr.com/usvf2d04,0.0000%,$0.00,"14,500.000000",$0.00
OPTIMISM,claim $foxy at(foxclick.vercel.app/),0.0000%,$0.00,"2,985.000000",$0.00
OPTIMISM,claim foxy now at me-qr.com/d9uouqi5,0.0000%,$0.00,"14,500.000000",$0.00
OPTIMISM,claim $foxy at me-qr.com/dHY9RTeC,0.0000%,$0.00,"14,500.000000",$0.00
OPTIMISM,Visit https://optimisam.org to Claim,0.0000%,$0.00,"2,000.000000",$0.00
OPTIMISM,Visit chain-link.ltd to Claim,0.0000%,$0.00,400.000000,$0.00
OPTIMISM,ACCESS [ VELODROME.UNO ] TO CLAIM AIRDROP,0.0000%,$0.00,"19,300.000000",$0.00
OPTIMISM,3000OP voucher at opchain.lol,0.0000%,$0.00,"3,000.000000",$0.00
OPTIMISM,AAVE [ACCESS AAVE.ASIA],0.0000%,$0.00,"43,767.000000",$0.00
OPTIMISM,Claim on optimisam.org,0.0000%,$0.00,"2,000.000000",$0.00
OPTIMISM,claim $foxy at me-qr.com/dHY9RTeC,0.0000%,$0.00,"14,500.000000",$0.00
OPTIMISM,OP,0.0000%,$0.00,"2,000.000000",$0.00
OPTIMISM,Claim on https://t.ly/pendle,0.0000%,$0.00,550.000000,$0.00
OPTIMISM,Claim On chain-link.ltd,0.0000%,$0.00,400.000000,$0.00
OPTIMISM,claim $foxy at (me-qr.com/yqdprsom),0.0000%,$0.00,"14,500.000000",$0.00
OPTIMISM,claim $foxy at me-qr.com/dHY9RTeC,0.0000%,$0.00,"14,500.000000",$0.00
OPTIMISM,Visit T.ly/optimism to Claim,0.0000%,$0.00,"2,000.000000",$0.00
OPTIMISM,$,0.0000%,$0.00,"50,000.000000",$0.00
OPTIMISM,ACCESS ( ERCLIDO.UNO ) CLAIM REWARD,0.0000%,$0.00,"4,000.000000",$0.00
OPTIMISM,claim $foxy at (me-qr.com/yqdprsom),0.0000%,$0.00,"14,500.000000",$0.00
OPTIMISM,claim foxy now at me-qr.com/d9uouqi5,0.0000%,$0.00,"14,500.000000",$0.00
OPTIMISM,claim $foxy at(foxclick.vercel.app/),0.0000%,$0.00,"2,985.000000",$0.00
OPTIMISM,BRC-20.WS,0.0000%,$0.00,"43,767.000000",$0.00
OPTIMISM,claim foxy now at me-qr.com/d9uouqi5,0.0000%,$0.00,"14,500.000000",$0.00
OPTIMISM,Claim on chain-link.ltd,0.0000%,$0.00,400.000000,$0.00
OPTIMISM,claim $foxy at(foxclick.vercel.app/),0.0000%,$0.00,"2,985.000000",$0.00
OPTIMISM,Visit optimisam.org to Claim,0.0000%,$0.00,"2,000.000000",$0.00
OPTIMISM,Optimism,0.0000%,$0.00,"3,000.000000",$0.00

